X,Y
0.950573596,-0.448695128
0.884509287,-0.376366076
0.914559554,-0.319265701
0.98515238,-0.273888031
0.96584816,-0.199262947
0.992670451,-0.119360286
0.991378059,-0.075902994
2.060430842,0.010433324
1.939461417,0.163189798
2.013877372,0.25719243
1.949589673,0.391457262
1.949449336,0.437111524
1.867508047,0.605281697
1.857778824,0.708499122
1.866437514,0.836951397
1.783150861,0.949926635
1.745360136,1.095407562
1.634734382,1.222366303
1.57811787,1.253496031
1.501783412,1.411567575
1.390245311,1.459079537
1.300988654,1.556979988
1.145126794,1.627044079
1.059220533,1.699227384
0.916828632,1.749966218
0.870569963,1.838980506
0.740039632,1.813581988
0.632966547,1.926040547
0.488694216,1.932493555
0.377132712,2.005847948
0.286624462,2.005905964
0.126786437,2.059824321
-0.006934398,2.025565244
-0.195323299,1.935146126
-0.306062086,1.974071439
-0.342418611,1.928821181
-0.484589136,1.921703214
-0.591370685,1.9658714
-0.727773721,1.886822208
-0.849595725,1.783517665
-0.977396715,1.704122668
-1.05372646,1.70124994
-1.134949243,1.594799303
-1.210177489,1.562710012
-1.372988825,1.469252282
-1.464966545,1.420299888
-1.547162358,1.300757171
-1.538178667,1.148763299
-1.696125318,1.07976096
-1.728779935,1.010648798
-1.803446926,0.89762669
-1.935348583,0.695625677
-1.821588793,0.631011629
-1.908770459,0.523706858
-1.994568028,0.323810128
-1.938095989,0.159452151
-2.045029782,0.16478661
-2.012861773,0.011118627
-2.02494592,-0.137817786
-1.957309329,-0.299010703
-1.99795979,-0.35056355
-1.975238747,-0.499416069
-1.90249949,-0.64277916
-1.862320078,-0.751430208
-1.823014138,-0.845314755
-1.728035318,-0.945483302
-1.705980544,-1.033926028
-1.617893556,-1.166660098
-1.55648167,-1.277192239
-1.478586326,-1.398206866
-1.355605346,-1.419687185
-1.261151364,-1.546614081
-1.18069319,-1.678110809
-1.053819743,-1.669143172
-0.940515572,-1.732380926
-0.853125134,-1.816741729
-0.747126079,-1.88703205
-0.63871235,-1.895691521
-0.499531129,-1.984612469
-0.383291262,-1.993473911
-0.191026586,-2.020453356
-0.079203598,-2.017840239
0.012046841,-2.081432997
0.102357944,-1.99018888
0.20989717,-1.918428349
0.421307255,-2.012522921
0.500965721,-1.919690613
0.63290977,-1.901195082
0.703092201,-1.921223369
0.852069634,-1.747228052
0.954065544,-1.707760943
1.014141255,-1.658456999
1.147919143,-1.603706678
1.290788962,-1.547788664
1.382810803,-1.470223513
1.45894288,-1.382120675
1.500995207,-1.24566093
1.548347325,-1.133906252
1.692712397,-1.068802069
1.758809863,-0.916957944
1.789810279,-0.927982591
1.879736353,-0.751976301
1.908348306,-0.614478604
1.965153488,-0.49527589
1.970325037,-0.387263735
1.995274368,-0.305668844
1.972024929,-0.114331595
3.047724117,-0.00821111
3.024774844,0.199267784
2.946548505,0.409139561
2.898416978,0.535181048
2.799534391,0.74217381
2.838728928,0.909860356
2.870092714,1.130500561
2.712068421,1.317665456
2.653509406,1.357115038
2.577674472,1.566373559
2.4207498,1.677842059
2.368802235,1.823854806
2.210248193,2.03364336
2.026889881,2.207633428
1.939866022,2.324597855
1.763208532,2.442051735
1.578092533,2.578860132
1.381438011,2.635839774
1.293561264,2.741573988
1.067423237,2.864600295
0.912659197,2.822140101
0.774404874,2.866155318
0.597565131,2.987577014
0.441013644,2.960636685
0.231978932,3.040296432
0.016027495,2.984468214
-0.228257077,3.042376012
-0.453384399,2.970197937
-0.502440179,2.966793489
-0.77711034,2.954266326
-0.878682811,2.855189143
-1.111863274,2.750856124
-1.265341243,2.702768865
-1.379768646,2.681693356
-1.612588256,2.464498513
-1.75420795,2.461121931
-1.881795713,2.312154516
-2.045313898,2.249298918
-2.106124937,2.017043722
-2.302441406,1.879984748
-2.374380965,1.735407973
-2.516385335,1.579598971
-2.644345989,1.43510253
-2.73352315,1.220759169
-2.775385588,1.115394188
-2.826674978,0.988185604
-2.924242392,0.701119561
-2.909389967,0.570003028
-3.006807207,0.328878248
-3.018269467,0.172473795
-3.013470498,0.005927694
-3.012487293,-0.205357617
-2.974317885,-0.464530445
-2.997437367,-0.669184573
-2.902019725,-0.748332167
-2.840719879,-0.930558224
-2.746776693,-1.13915432
-2.69758209,-1.227835912
-2.583603104,-1.43720322
-2.507335458,-1.589839353
-2.416726643,-1.773300757
-2.344370703,-1.890572634
-2.236579328,-2.002112871
-2.101698974,-2.103049434
-1.971231747,-2.303101564
-1.795367557,-2.435693277
-1.615589793,-2.521185177
-1.35784665,-2.649464531
-1.240014771,-2.752798881
-1.14702104,-2.779183418
-0.896746641,-2.809681059
-0.763192882,-2.898838808
-0.576465438,-2.953438544
-0.363864569,-2.946125973
-0.160911721,-3.002335538
-0.015007448,-2.949043027
0.239805304,-3.037314538
0.329696319,-3.025768931
0.560767225,-2.938126885
0.862338686,-2.886669227
0.910260018,-2.769920134
1.148375181,-2.727643567
1.276672375,-2.703427417
1.449744721,-2.58350545
1.618702099,-2.555474901
1.798090841,-2.488209871
1.859237512,-2.301704303
2.047511466,-2.152368145
2.166431585,-2.08712392
2.374321114,-1.924607327
2.420417294,-1.69903264
2.549168281,-1.598159764
2.678418463,-1.487484717
2.670640294,-1.234565987
2.742574311,-1.100578036
2.851734199,-0.882538661
2.866643316,-0.820587913
2.971904623,-0.582441477
2.972146626,-0.466009134
2.927205249,-0.250173434
